Feature	SortIndex	Mean_W	StErr_W	Mean_W_GM	StErr_W_GM	CVratio	CVratio_GM	P_Relia95CI_GM	SignConst	Z_SignConst	P_SignConst	Pfdr_SignConst	Z_Perm	P_PermProb	Pfdr_PermProb
self_min_H_AU01_r	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_AU02_r	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_AU04_r	3	0.0142708	0.22127	0.0129205	0.201101	0.0644948	0.251561	0.07	0.036519	0.323191	0.427971	0.304119	-0.299991	0.253444	58.8474
self_min_H_AU05_r	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_AU06_r	5	0.0923659	0.288973	0.0912579	0.260853	0.319635	1.36261	0.15	0.211216	1.86924	1.51153	0.973136	0.859309	0.346599	56.9915
self_min_H_AU07_r	6	0.109232	0.276099	0.103439	0.250494	0.395625	1.7499	0.12	0.32637	2.88834	2.71301	1.75053	1.07663	0.358421	50.7593
self_min_H_AU09_r	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_AU10_r	8	0.113498	0.287224	0.110252	0.262177	0.395154	1.74502	0.12	0.295896	2.61865	2.35518	1.54308	1.11902	0.354667	54.3797
self_min_H_AU12_r	9	0.00186136	0.210104	-0.00467612	0.186847	0.00885924	0.0446107	-0.04	0.0293359	0.259621	0.400577	0.2905	-0.032205	0.298081	50.9518
self_min_H_AU14_r	10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_AU15_r	11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_AU17_r	12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_AU20_r	13	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_AU23_r	14	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_AU25_r	15	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_AU26_r	16	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_AU45_r	17	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_MEA_body	18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_MEA_head	19	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_AU01_r	20	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_AU02_r	21	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_AU04_r	22	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_AU05_r	23	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_AU06_r	24	0.150016	0.390932	0.141966	0.359516	0.383739	1.66586	0.11	0.274257	2.42715	2.11868	1.43052	1.23499	0.365088	50.6689
self_min_M_AU07_r	25	0.13441	0.32986	0.134092	0.301777	0.407476	1.76884	0.15	0.303855	2.68909	2.44583	1.57725	1.18537	0.381481	49.0268
self_min_M_AU09_r	26	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_AU10_r	27	0.1001	0.301812	0.0972849	0.27239	0.331663	1.42245	0.12	0.227179	2.01052	1.65388	1.08633	0.949521	0.343081	52.2697
self_min_M_AU12_r	28	0.0451058	0.302519	0.047214	0.276627	0.149101	0.630925	0.05	0.10802	0.955968	0.770717	0.504302	0.247192	0.287689	60.0425
self_min_M_AU14_r	29	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_AU15_r	30	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_AU17_r	31	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_AU20_r	32	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_AU23_r	33	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_AU25_r	34	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_AU26_r	35	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_AU45_r	36	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_MEA_body	37	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_MEA_head	38	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_max_H_AU01_r	39	0.142643	0.503682	0.15553	0.459456	0.2832	1.26083	0.14	0.246437	2.18094	1.83583	1.19628	1.57843	0.326413	39.4255
self_max_H_AU02_r	40	0.143533	0.48287	0.159162	0.447109	0.29725	1.34609	0.11	0.24781	2.1931	1.84924	1.20251	1.39605	0.329329	48.195
self_max_H_AU04_r	41	0.0326175	0.492004	0.0328439	0.450327	0.0662951	0.356336	0.02	0.077795	0.688479	0.609815	0.410242	0.0284607	0.286827	58.7775
self_max_H_AU05_r	42	-0.129987	0.519418	-0.132431	0.481289	-0.250254	-1.05182	-0.06	0.199038	1.76147	1.40805	0.875267	-0.815962	0.326923	58.4854
self_max_H_AU06_r	43	0.0531901	0.458704	0.0470076	0.425058	0.115957	0.496922	0.08	0.0413876	0.366277	0.447235	0.310156	0.542506	0.290529	50.8659
self_max_H_AU07_r	44	0.305369	0.602774	0.317941	0.548225	0.506606	2.38972	0.27	0.352911	3.12323	3.04848	1.81428	1.79588	0.393298	43.8588
self_max_H_AU09_r	45	0.102235	0.49666	0.0835902	0.451814	0.205844	1.00317	0.08	0.130689	1.15658	0.907556	0.593264	0.482204	0.289238	55.0391
self_max_H_AU10_r	46	0.101224	0.586563	0.120183	0.542525	0.172572	0.836224	0.11	0.0963421	0.85262	0.705677	0.468316	0.92207	0.29941	44.1495
self_max_H_AU12_r	47	-0.326074	0.563181	-0.297504	0.512818	-0.578986	-2.77835	-0.22	0.381762	3.37856	3.43851	2.01362	-1.78366	0.425332	43.9369
self_max_H_AU14_r	48	-0.0732019	0.55638	-0.0731859	0.507276	-0.131568	-0.512278	-0.1	0.0856947	0.758391	0.649542	0.436848	-0.213551	0.294042	57.7107
self_max_H_AU15_r	49	0.266692	0.723662	0.285318	0.650713	0.36853	1.75095	0.14	0.279066	2.46971	2.16998	1.44407	1.36323	0.334248	45.323
self_max_H_AU17_r	50	-0.00798049	0.527249	-0.00712783	0.488809	-0.0151361	-0.0130831	-0.06	0.00120213	0.0106387	0.304732	0.245339	0.865094	0.272317	55.6972
self_max_H_AU20_r	51	0.214084	0.509715	0.24009	0.460357	0.420008	2.02155	0.2	0.282157	2.49707	2.20334	1.46121	2.00684	0.357665	27.6915
self_max_H_AU23_r	52	0.145802	0.570683	0.17469	0.527546	0.255487	1.1044	0.06	0.164005	1.45143	1.13472	0.739219	0.987822	0.299905	55.9318
self_max_H_AU25_r	53	0.0794947	0.602204	0.0912306	0.554979	0.132006	0.612562	0.01	0.0654302	0.579052	0.550866	0.381257	0.823375	0.272678	47.6873
