Feature	SortIndex	Mean_W	StErr_W	Mean_W_GM	StErr_W_GM	CVratio	CVratio_GM	P_Relia95CI_GM	SignConst	Z_SignConst	P_SignConst	Pfdr_SignConst	Spearman_GM	Pearson_GM	P_Spearman_GM	P_Pearson_GM	Pfdr_Spearman_GM	Pfdr_Pearson_GM	FeatSelProb	Z_Perm	P_PermProb	Pfdr_PermProb
min_H_LOF	1	-0.184051	0.0862312	-0.191023	0.0547172	-2.13439	-15.8527	-0.97	0.955629	2.94707	2.7948	2.25073	-0.152873	-0.20825	0.685223	1.07951	0.474914	0.726298	1	-0.926408	0.378979	42.8607
min_M_LOF	2	0.0564246	0.0766858	0.0670018	0.0485351	0.735789	5.90602	0.6	0.556656	1.71668	1.36634	1.19793	-0.101439	-0.0788179	0.394271	0.286835	0.282952	0.216515	1	0.663411	0.206878	48.1011
min_H_ROF	3	-0.0783106	0.077902	-0.0711065	0.0473018	-1.00524	-6.84126	-0.63	0.724239	2.23349	1.8942	1.65117	-0.187162	-0.216257	0.927235	1.1417	0.602	0.774101	1	-0.339309	0.146956	45.1613
min_M_ROF	4	-0.269808	0.111138	-0.280189	0.0783905	-2.42769	-17.4784	-0.96	0.997066	3.07486	2.97757	2.35251	-0.268651	-0.326647	1.62895	2.24804	1.00906	1.33296	1	-1.59028	0.677963	40.2648
max_H_LOF	5	0.190515	0.0856083	0.200539	0.0530284	2.22543	21.406	0.97	0.920059	2.83738	2.64315	2.15024	0.321448	0.314829	2.19347	2.10002	1.20133	1.21059	1	1.21069	0.448671	40.1175
max_M_LOF	6	0.134121	0.0820834	0.142153	0.0520699	1.63396	12.7036	0.91	0.87092	2.68584	2.4416	2.03584	0.231398	0.231942	1.26817	1.27286	0.842537	0.858195	1	0.651942	0.291105	45.0948
max_H_ROF	7	0.100997	0.138454	0.103797	0.104049	0.729459	3.93757	0.45	0.400807	1.23605	0.965694	0.860958	-0.130907	-0.125161	0.555851	0.520205	0.394047	0.365664	1	0.515959	0.22444	45.704
max_M_ROF	8	-0.0120213	0.087465	-0.0149839	0.0565234	-0.137441	-2.33187	-0.44	0.170884	0.52699	0.524183	0.474965	-0.12787	-0.13179	0.538565	0.557836	0.37728	0.388996	1	0.146281	0.152928	47.9945
md_H_LOF	9	0.224453	0.0594883	0.226088	0.0289458	3.77306	34.4074	1	1	3.08391	2.99076	2.35251	0.255026	0.24751	1.47994	1.41063	0.953384	0.963472	1	1.25233	0.612419	41.2326
md_M_LOF	10	-0.153518	0.0955616	-0.16227	0.0603641	-1.60649	-14.0075	-0.83	0.815548	2.51508	2.22546	1.89944	-0.0925554	-0.121837	0.350661	0.501673	0.271565	0.363626	1	-0.678498	0.360765	41.5714
md_H_ROF	11	-0.250218	0.100703	-0.242987	0.0676223	-2.48471	-17.5362	-0.99	1	3.08391	2.99076	2.35251	-0.237094	-0.223617	1.32536	1.20772	0.855381	0.823068	1	-1.34922	0.59854	31.9259
md_M_ROF	12	-0.145727	0.124243	-0.155654	0.0959667	-1.17291	-8.06173	-0.71	0.657132	2.02654	1.6705	1.47862	-0.280743	-0.252761	1.74303	1.47923	1.05826	0.971063	1	-0.805976	0.388296	42.9741
mean_H_LOF	13	0.0773002	0.123718	0.0803161	0.0901977	0.62481	4.11682	0.6	0.449578	1.38646	1.08195	0.957013	0.253458	0.251507	1.46552	1.44725	0.924978	0.974706	1	0.414367	0.286154	44.9976
mean_M_LOF	14	-0.258608	0.0754021	-0.262296	0.055724	-3.42972	-20.0169	-1	1	3.08391	2.99076	2.35251	-0.0564343	-0.0678492	0.192048	0.238988	0.162144	0.171231	1	-1.68306	0.79602	38.4977
mean_H_ROF	15	0.133938	0.145656	0.119653	0.108388	0.919549	4.68167	0.51	0.682802	2.1057	1.75411	1.5374	-0.122223	-0.107812	0.508761	0.430295	0.355842	0.311204	1	0.732216	0.270134	44.9423
mean_M_ROF	16	-0.303514	0.0574556	-0.304692	0.0273853	-5.28257	-47.5688	-1	1	3.08391	2.99076	2.35251	-0.291458	-0.285791	1.8427	1.78328	1.1093	1.0934	1	-1.71725	1.00148	32.6554
sd_H_LOF	17	0.285094	0.0953004	0.294201	0.0705245	2.99153	18.3611	1	0.991933	3.05903	2.95457	2.35251	0.371332	0.373889	2.81368	2.85843	1.49207	1.48371	1	1.43585	0.791133	38.5545
sd_M_LOF	18	0.0321884	0.0533553	0.0301447	0.0323635	0.603285	4.53258	0.6	0.470114	1.44979	1.13337	0.987237	0.163756	0.144206	0.755599	0.634848	0.504286	0.451119	1	0.213885	0.0875241	49.6276
sd_H_ROF	19	0.0525487	0.140656	0.0696029	0.0991859	0.373598	4.13667	0.5	0.331867	1.02345	0.815171	0.729741	0.0713582	0.0553946	0.256261	0.187918	0.200084	0.150349	1	0.23073	0.279863	45.6755
sd_M_ROF	20	-0.016291	0.0672316	-0.0137957	0.0399561	-0.242311	-2.14303	-0.51	0.210854	0.650256	0.588779	0.521832	-0.137419	-0.155465	0.590727	0.707686	0.425954	0.495156	1	-0.19383	0.106908	50.8225
kurtosis_H_LOF	21	0.0968442	0.077841	0.0880409	0.0555682	1.24413	7.12391	0.74	0.836817	2.58067	2.30711	1.93913	0.15664	0.137313	0.709225	0.591542	0.468869	0.425328	1	0.54693	0.203746	46.9134
kurtosis_M_LOF	22	0.104711	0.0856058	0.115821	0.0644353	1.22317	7.63919	0.84	0.808948	2.49472	2.20047	1.89944	0.279671	0.268385	1.72686	1.61301	1.02983	1.01903	1	0.591138	0.282091	43.9175
kurtosis_H_ROF	23	-0.17221	0.0922507	-0.180842	0.0604146	-1.86676	-13.6626	-0.95	0.899523	2.77405	2.55781	2.11065	-0.2079	-0.193749	1.07488	0.966453	0.684582	0.636885	1	-0.93209	0.408526	41.5799
kurtosis_M_ROF	24	0.000582741	0.0531681	0.00339175	0.026369	0.0109604	0.793736	0.52	0.0880088	0.271411	0.405566	0.389772	-0.00640565	0.0124542	0.101098	0.102003	0.0831117	0.0821522	1	-0.0533856	0.0835851	50.0569
skew_H_LOF	25	-0.00589115	0.0953773	0.00471568	0.0631861	-0.0617668	0.99917	0.41	0.0674734	0.208082	0.379258	0.379258	0.138128	0.126301	0.594915	0.526551	0.435301	0.373575	1	-0.201396	0.175936	46.1208
skew_M_LOF	26	0.133879	0.0934743	0.143136	0.060279	1.43225	12.1921	0.85	0.793546	2.44722	2.14278	1.87172	0.265741	0.287879	1.58423	1.81915	0.999111	1.08973	1	0.692625	0.349886	40.3864
skew_H_ROF	27	-0.276395	0.101997	-0.27038	0.0719538	-2.70983	-15.3559	-1	0.999633	3.08278	2.98911	2.35251	-0.123174	-0.154123	0.509069	0.695127	0.367762	0.48998	1	-1.43029	0.708637	32.6934
skew_M_ROF	28	-0.0127161	0.0569826	-0.0134046	0.0263314	-0.223158	-1.26082	-0.59	0.112945	0.348311	0.439133	0.406949	-0.0535769	-0.00545475	0.195231	0.0985723	0.152286	0.0827781	1	-0.179539	0.0855968	49.0731
