Feature	SortIndex	Mean_W	StErr_W	Mean_W_GM	StErr_W_GM	CVratio	CVratio_GM	P_Relia95CI_GM	SignConst	Z_SignConst	P_SignConst	Pfdr_SignConst	Spearman_GM	Pearson_GM	P_Spearman_GM	P_Pearson_GM	Pfdr_Spearman_GM	Pfdr_Pearson_GM	FeatSelProb	Z_Perm	P_PermProb	Pfdr_PermProb
min_H_bodysync	1	-0.410714	0.201044	-0.420657	0.143745	-2.0429	-13.8188	-0.97	1	5.04942	6.65449	5.68812	-0.107657	-0.164984	0.458235	0.817723	0.20532	0.146013	1	-5.76623	0.879584	4.88307
max_H_bodysync	2	-0.229941	0.190866	-0.242861	0.129922	-1.20472	-8.41386	-0.82	0.756544	3.82011	4.1759	3.98402	0.101961	0.052656	0.425053	0.18906	0.161866	0.058516	1	-1.87129	0.564179	0.953783
sd_H_bodysync	3	0.199482	0.124476	0.18615	0.0672117	1.60257	14.804	0.86	0.870035	4.39317	5.25295	4.85915	0.101179	0.111232	0.41873	0.471638	0.166055	0.108111	1	3.11979	0.850123	29.9021
mean_H_bodysync	4	0.0843138	0.12273	0.0825593	0.0580773	0.686986	7.02904	0.67	0.476844	2.40779	2.09557	2.02862	0.0461462	0.0442889	0.1634	0.160599	0.088124	0.0521912	1	1.4581	0.45614	37.18
md_H_bodysync	5	0.215654	0.12479	0.223019	0.0759341	1.72814	12.5022	0.94	0.925682	4.67416	5.83097	5.16197	0.0311892	0.0221998	0.135126	0.119252	0.0662262	0.0423874	1	1.87724	0.628171	0.56315
skew_H_bodysync	6	0.241766	0.144392	0.259767	0.119836	1.67437	9.18085	0.94	0.885045	4.46897	5.40562	4.86155	0.0558221	0.0298585	0.202474	0.110149	0.106009	0.0402087	1	3.18671	0.641185	0
kurtosis_H_bodysync	7	-0.135948	0.12574	-0.14061	0.0613934	-1.08118	-9.37805	-0.83	0.68845	3.47627	3.5948	3.44867	0.057531	0.00123288	0.209852	0.0864698	0.105206	0.0287653	1	-0.283895	0.00503856	54
min_M_bodysync	8	-0.124752	0.136772	-0.1158	0.06822	-0.912113	-6.73275	-0.8	0.757276	3.82381	4.18242	3.98402	-0.116771	-0.10472	0.510585	0.440278	0.194508	0.108186	1	-0.599094	0.138816	54
max_M_bodysync	9	0.138356	0.172361	0.138384	0.122548	0.802707	4.3809	0.6	0.453414	2.28948	1.95759	1.92541	0.112214	0.126289	0.483166	0.560072	0.166177	0.123774	1	1.59972	0.362138	39.4017
sd_M_bodysync	10	-0.0845778	0.15567	-0.0994066	0.119736	-0.543316	-3.62096	-0.44	0.388614	1.96228	1.60441	1.60441	0.0922773	0.0999563	0.37241	0.415451	0.15774	0.104788	1	-0.472981	0.272177	10.8699
mean_M_bodysync	11	0.270088	0.261565	0.286263	0.212815	1.03259	5.18618	0.58	0.624748	3.15462	3.09499	2.99026	-0.0142403	0.00739854	0.105127	0.10643	0.0603618	0.0385105	1	1.88351	0.402888	9.40492
md_M_bodysync	12	-0.314922	0.130273	-0.313857	0.0755905	-2.41741	-18.007	-1	0.989383	4.99581	6.53322	5.68812	-0.157213	-0.0553154	0.77155	0.198768	0.228032	0.0607375	1	-0.834982	0.12178	53.7298
skew_M_bodysync	13	0.167869	0.134414	0.165255	0.0862981	1.24889	10.5888	0.77	0.764232	3.85893	4.24457	3.98402	0.166565	0.135431	0.830632	0.621352	0.234615	0.1555	1	1.24631	0.496864	22.9561
kurtosis_M_bodysync	14	0.140682	0.102015	0.133807	0.0765193	1.37904	7.55312	0.82	0.867472	4.38023	5.22712	4.85915	0.166897	0.154488	0.839985	0.744191	0.234615	0.1555	1	0.293764	0.0130242	54
