Feature	SortIndex	Mean_W	StErr_W	Mean_W_GM	StErr_W_GM	CVratio	CVratio_GM	P_Relia95CI_GM	SignConst	Z_SignConst	P_SignConst	Pfdr_SignConst	Z_Perm	P_PermProb	Pfdr_PermProb
self_min_H_AU01_r	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_AU02_r	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_AU04_r	3	0.076361	0.23991	0.0684911	0.214461	0.318291	1.43696	0.14	0.150703	1.24383	0.971509	0.653264	0.402408	0.29332	41.891
self_min_H_AU05_r	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_AU06_r	5	0.120179	0.303793	0.105732	0.272794	0.395595	1.6391	0.11	0.210824	1.74005	1.38801	0.926921	0.990539	0.367403	49.1297
self_min_H_AU07_r	6	0.127574	0.323925	0.121142	0.295967	0.393837	1.69412	0.08	0.25757	2.12587	1.77581	1.177	1.39851	0.350406	42.6288
self_min_H_AU09_r	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_AU10_r	8	0.172026	0.327097	0.160771	0.303418	0.525918	2.30278	0.19	0.354285	2.92411	2.76266	1.72597	1.58494	0.401506	33.3878
self_min_H_AU12_r	9	0.024987	0.275877	0.013932	0.251588	0.0905728	0.335086	0.03	0.0123263	0.101736	0.33773	0.263557	-0.294099	0.305126	47.5869
self_min_H_AU14_r	10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_AU15_r	11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_AU17_r	12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_AU20_r	13	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_AU23_r	14	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_AU25_r	15	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_AU26_r	16	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_AU45_r	17	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_MEA_body	18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_MEA_head	19	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_AU01_r	20	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_AU02_r	21	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_AU04_r	22	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_AU05_r	23	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_AU06_r	24	0.203099	0.451096	0.172822	0.416109	0.450235	2.04969	0.19	0.259488	2.14171	1.79294	1.18146	1.17199	0.376746	45.3472
self_min_M_AU07_r	25	0.186862	0.404359	0.165454	0.370855	0.46212	2.03781	0.18	0.259696	2.14342	1.7948	1.18146	1.19821	0.376755	41.7561
self_min_M_AU09_r	26	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_AU10_r	27	0.156308	0.341998	0.147675	0.314696	0.457044	1.98804	0.19	0.3076	2.5388	2.25479	1.45316	1.37352	0.385897	40.9323
self_min_M_AU12_r	28	0.0447679	0.28366	0.0425784	0.260866	0.157822	0.696069	0.05	0.0920938	0.760103	0.650535	0.443137	-0.14468	0.307637	53.1328
self_min_M_AU14_r	29	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_AU15_r	30	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_AU17_r	31	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_AU20_r	32	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_AU23_r	33	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_AU25_r	34	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_AU26_r	35	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_AU45_r	36	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_MEA_body	37	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_MEA_head	38	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_max_H_AU01_r	39	-0.071676	0.533646	-0.0612998	0.490328	-0.134314	-0.611149	-0.04	0.115233	0.951082	0.767559	0.527369	-0.498227	0.292135	54.0854
self_max_H_AU02_r	40	-0.0924309	0.516777	-0.0901188	0.473111	-0.17886	-0.831342	-0.04	0.133093	1.09849	0.866478	0.578316	-0.592173	0.300571	50.12
self_max_H_AU04_r	41	-0.0426162	0.439198	-0.0311262	0.397559	-0.0970318	-0.41817	-0.09	0.0685214	0.565546	0.54386	0.374251	-0.547203	0.284758	50.3101
self_max_H_AU05_r	42	-0.272342	0.443201	-0.283831	0.403819	-0.614488	-2.83789	-0.28	0.465224	3.83976	4.21058	2.08673	-2.05154	0.44944	11.2902
self_max_H_AU06_r	43	0.132538	0.5383	0.151988	0.49055	0.246216	1.15896	0.12	0.165035	1.36213	1.06259	0.705895	0.972761	0.349587	52.7586
self_max_H_AU07_r	44	0.329858	0.598565	0.35391	0.551082	0.551082	2.57737	0.3	0.385197	3.17925	3.13177	1.91101	2.06911	0.421373	42.9163
self_max_H_AU09_r	45	0.075701	0.28782	0.0713789	0.259012	0.263015	1.25839	0.07	0.21106	1.742	1.38982	0.926921	1.22437	0.311964	43.3841
self_max_H_AU10_r	46	0.0926313	0.500176	0.0893419	0.465376	0.185197	0.837483	0.05	0.130002	1.07298	0.848813	0.574271	0.956654	0.320298	49.8453
self_max_H_AU12_r	47	-0.350006	0.613713	-0.35244	0.57933	-0.570308	-2.49384	-0.19	0.365619	3.01766	2.89495	1.79229	-1.7845	0.420568	15.4096
self_max_H_AU14_r	48	-0.0841282	0.441198	-0.0727026	0.414173	-0.190681	-0.837847	-0.07	0.125193	1.03329	0.821789	0.558506	-0.104043	0.28962	50.8307
self_max_H_AU15_r	49	0.339815	0.522835	0.350197	0.477869	0.649947	2.94367	0.31	0.492014	4.06088	4.61182	2.18694	1.34926	0.411048	38.1908
self_max_H_AU17_r	50	-0.252778	0.586289	-0.24382	0.533786	-0.431149	-1.95376	-0.19	0.339859	2.80505	2.59939	1.69302	-1.1974	0.356776	30.0957
self_max_H_AU20_r	51	0.160382	0.376514	0.160114	0.338399	0.425966	1.94734	0.17	0.349476	2.88443	2.7076	1.72597	1.06064	0.336634	42.1218
self_max_H_AU23_r	52	-0.00915273	0.478401	-0.0108939	0.43278	-0.0191319	-0.0835603	-0.04	0.022497	0.185681	0.370236	0.271258	0.412346	0.263862	53.289
self_max_H_AU25_r	53	-0.0479616	0.604513	-0.0173037	0.550446	-0.0793391	-0.374497	-0.03	0.0431049	0.35577	0.442485	0.305405	0.0217299	0.286357	47.5732
