Feature	SortIndex	Mean_W	StErr_W	Mean_W_GM	StErr_W_GM	CVratio	CVratio_GM	P_Relia95CI_GM	SignConst	Z_SignConst	P_SignConst	Pfdr_SignConst	Spearman_GM	Pearson_GM	P_Spearman_GM	P_Pearson_GM	Pfdr_Spearman_GM	Pfdr_Pearson_GM	FeatSelProb	Z_Perm	P_PermProb	Pfdr_PermProb
dyad_pit_sync_MEA_H_speech	1	-0.00711344	0.076259	-0.00753814	0.020664	-0.0932801	-2.01282	-0.73	0.094869	0.331574	0.431675	0.431675	0.149041	0.109297	0.647602	0.426084	0.404807	0.220562	1	-0.0525203	0.108214	52.4326
dyad_pit_sync_MEA_M_speech	2	0.0370357	0.0543036	0.0350238	0.0203206	0.682012	9.86776	0.77	0.534145	1.86688	1.50921	1.43003	0.161085	0.143993	0.722593	0.617264	0.475263	0.369712	1	0.224027	0.109601	52.1771
dyad_int_sync_MEA_H_speech	3	0.355083	0.0910414	0.359607	0.0553165	3.90024	28.4879	1	1	3.49507	3.62532	3.14494	0.437739	0.455032	3.72305	4.0251	2.74929	3.01444	1	2.37361	1.40666	1.95
dyad_int_sync_MEA_M_speech	4	-0.0477137	0.124105	-0.058891	0.100952	-0.384463	-2.4121	-0.28	0.259874	0.908281	0.740251	0.694494	0.312339	0.323425	2.07165	2.17411	1.49144	1.6131	1	-0.361664	0.282132	45.8842
dyad_spr_H_speech	5	0.170781	0.0523804	0.167666	0.0358036	3.26041	21.0947	1	0.998523	3.48991	3.61693	3.14494	0.413588	0.439804	3.34155	3.77003	2.47807	2.88877	1	1.09027	0.495249	39.1842
dyad_spr_M_speech	6	0.248071	0.0558199	0.24852	0.0305536	4.44413	38.0533	1	1	3.49507	3.62532	3.14494	0.42579	0.435132	3.57686	3.70379	2.61135	2.85707	1	1.51407	0.709195	42.1417
dyad_str_H_speech	7	0.224141	0.068586	0.231256	0.0389443	3.26803	25.6237	1	1	3.49507	3.62532	3.14494	0.0950633	0.0287082	0.359451	0.151571	0.223785	0.0724943	1	1.27426	0.619248	49.3976
dyad_str_M_speech	8	-0.0539078	0.0679872	-0.0491707	0.0333411	-0.792911	-6.82312	-0.81	0.616094	2.1533	1.80555	1.70864	-0.117737	-0.103637	0.469845	0.397589	0.295247	0.217082	1	-0.288516	0.122455	50.1537
dyad_ttg_H_speech	9	-0.142717	0.0979982	-0.14746	0.044799	-1.45632	-12.107	-0.96	0.869324	3.03835	2.92468	2.67801	-0.0922844	-0.132147	0.342811	0.549616	0.209608	0.324487	1	-0.730787	0.307014	44.9725
dyad_ttg_M_speech	10	0.215868	0.109932	0.230247	0.0781993	1.96365	13.0314	0.98	0.967147	3.38025	3.44117	3.14014	-0.0338044	-0.111394	0.16984	0.441044	0.10318	0.267357	1	0.962109	0.388051	45.9291
dyad_no_turns_H_speech	11	0.176914	0.0687929	0.180224	0.0435232	2.57169	18.9904	1	0.997785	3.48733	3.61273	3.14494	-0.102685	0.00707585	0.392876	0.114871	0.226448	0.0595322	1	0.945461	0.4018	41.1944
dyad_no_turns_M_speech	12	-0.163297	0.110367	-0.164375	0.0680548	-1.47958	-10.7034	-0.86	0.86268	3.01513	2.89132	2.66947	-0.163033	-0.0417844	0.73506	0.13478	0.453839	0.0773653	1	-1.00088	0.390132	36.2223
nsyll_H_speech	13	0.00610922	0.0868564	0.00894805	0.067501	0.070337	0.643896	0.2	0.157992	0.552193	0.536992	0.522268	0.259544	0.297442	1.48719	1.87494	1.0169	1.37197	1	0.102879	0.166359	49.1001
nsyll_M_speech	14	0.0590135	0.0533406	0.0527991	0.0430593	1.10635	5.68067	0.64	0.735696	2.57131	2.29536	2.16066	0.31462	0.310442	2.06385	2.00768	1.51569	1.47798	1	0.336356	0.142038	49.6828
npause_H_speech	15	0.189599	0.0891293	0.202026	0.0668748	2.12723	12.0069	1	0.978959	3.42154	3.50676	3.14494	-0.147524	-0.0932232	0.63841	0.347205	0.396565	0.175726	1	1.01768	0.446777	38.6586
npause_M_speech	16	0.0446307	0.0430543	0.0495304	0.0279342	1.03661	7.17649	0.77	0.722407	2.52487	2.23754	2.12214	-0.0686725	-0.0307754	0.238143	0.095146	0.148759	0.0581121	1	0.266082	0.121977	49.9513
pho_H_speech	17	-0.0190791	0.0425571	-0.0245982	0.026395	-0.448317	-4.94004	-0.5	0.452935	1.58304	1.24637	1.18422	-0.0150896	-0.0201273	0.078978	0.0722783	0.0490634	0.0433846	1	-0.0913434	0.070244	52.5116
pho_M_speech	18	0.0961051	0.0694894	0.0885522	0.0457611	1.38302	8.41061	0.89	0.838317	2.92998	2.77085	2.57248	0.0707361	0.0587901	0.246798	0.197971	0.157215	0.113971	1	0.49113	0.192419	47.17
art_H_speech	19	0.19436	0.0531397	0.198846	0.0381523	3.65754	22.1549	1	0.991879	3.46669	3.5793	3.14494	0.519711	0.47462	5.28761	4.4203	3.81049	3.21928	1	1.32788	0.593304	38.1195
art_M_speech	20	0.0940102	0.0633733	0.0877378	0.0500013	1.48344	7.71695	0.85	0.888889	3.10673	3.02418	2.75118	0.376516	0.408058	2.81765	3.27756	2.10111	2.56647	1	0.567871	0.209179	49.216
pit_sync_H_speech	21	0.202529	0.0589946	0.202625	0.0295663	3.43301	29.4796	1	1	3.49507	3.62532	3.14494	0.204377	0.240896	1.03924	1.32228	0.66526	0.926401	1	1.44943	0.717595	33.5906
pit_sync_M_speech	22	-0.168307	0.0620135	-0.170602	0.026426	-2.71404	-28.4542	-0.99	0.991141	3.46411	3.57513	3.14494	-0.00363788	-0.091805	0.132609	0.343783	0.0829904	0.174309	1	-1.0318	0.416698	41.2717
int_sync_H_speech	23	0.164419	0.0592891	0.168024	0.0352385	2.77318	20.5853	1	1	3.49507	3.62532	3.14494	0.207481	0.195113	1.04791	0.965979	0.69287	0.629772	1	0.985218	0.454467	36.7191
int_sync_M_speech	24	-0.274584	0.0619277	-0.281533	0.0402601	-4.43394	-28.3934	-1	1	3.49507	3.62532	3.14494	-0.117699	-0.147076	0.469643	0.641489	0.300342	0.369237	1	-1.59859	0.822192	35.9627
