Feature	SortIndex	Mean_W	StErr_W	Mean_W_GM	StErr_W_GM	CVratio	CVratio_GM	P_Relia95CI_GM	SignConst	Z_SignConst	P_SignConst	Pfdr_SignConst	Spearman_GM	Pearson_GM	P_Spearman_GM	P_Pearson_GM	Pfdr_Spearman_GM	Pfdr_Pearson_GM	FeatSelProb	Z_Perm	P_PermProb	Pfdr_PermProb
min_H_LOF	1	0.0319138	0.060087	0.0383537	0.0341115	0.531127	7.33095	0.58	0.435277	1.65596	1.31101	1.22558	-0.0309742	-0.0543725	0.124163	0.196301	0.0174914	0.0339141	1	0.342193	0.205864	49.2389
min_M_LOF	2	0.0963791	0.065378	0.100969	0.0323415	1.47418	12.5356	0.93	0.86212	3.27984	3.28456	2.8374	-0.0432378	-0.0032488	0.150785	0.0838895	0.0212026	0.017796	1	0.617403	0.136502	52.0167
min_H_ROF	3	0.15924	0.0783969	0.16321	0.0457011	2.03121	14.8506	0.95	0.956362	3.63838	3.86271	3.26476	0.0244934	0.026407	0.128539	0.110801	0.0227554	0.0212188	1	1.30104	0.485119	23.4309
min_M_ROF	4	-0.359432	0.112982	-0.368992	0.0726203	-3.18132	-23.2142	-1	1	3.80439	4.14828	3.26476	-0.230222	-0.24189	1.36248	1.48314	0.672832	0.692279	1	-1.92048	0.994212	17.8102
max_H_LOF	5	0.0959043	0.141641	0.0876017	0.0976327	0.677095	4.59867	0.53	0.436744	1.66154	1.31603	1.22558	0.28025	0.253203	1.87493	1.59679	0.923854	0.787135	1	1.14841	0.497754	26.1462
max_M_LOF	6	0.085546	0.104105	0.0799335	0.0730873	0.821732	4.98837	0.52	0.515952	1.96288	1.60502	1.43662	0.0125315	-0.00868888	0.0819792	0.0945247	0.0178518	0.017532	1	0.866621	0.397316	36.3812
max_H_ROF	7	-0.0298579	0.103585	-0.0275836	0.0805973	-0.288244	-2.14215	-0.29	0.30363	1.15513	0.906513	0.857295	-0.154841	-0.187732	0.747759	0.987641	0.278201	0.418382	1	-0.585691	0.250353	33.6964
max_M_ROF	8	0.0602152	0.0876764	0.0647608	0.040087	0.686789	5.79642	0.77	0.477814	1.81779	1.46158	1.33664	-0.0327132	-0.0534376	0.133545	0.192348	0.0250736	0.02979	1	0.492936	0.124782	53.952
md_H_LOF	9	0.0581395	0.0661524	0.0614687	0.0306125	0.878872	10.069	0.82	0.656766	2.49859	2.20521	1.96217	0.107657	0.0839958	0.458235	0.332396	0.10044	0.067578	1	0.606874	0.161833	39.0231
md_M_LOF	10	-0.095341	0.0767357	-0.1017	0.0308696	-1.24246	-15.1789	-0.89	0.810048	3.08174	2.9876	2.65438	-0.00911381	-0.0198183	0.0923475	0.106771	0.0174532	0.0187616	1	-1.46946	0.569795	28.7998
md_H_ROF	11	-0.460622	0.0715861	-0.467148	0.0454033	-6.43452	-49.3063	-1	1	3.80439	4.14828	3.26476	-0.369547	-0.345958	3.02321	2.67385	1.63429	1.30515	1	-6.4042	3.0173	0.0168
md_M_ROF	12	-0.0366949	0.111794	-0.0400205	0.0824071	-0.328237	-2.29333	-0.46	0.289329	1.10072	0.868032	0.852237	-0.152656	-0.161663	0.736655	0.803148	0.289784	0.362828	1	-0.141509	0.0631431	53.0571
mean_H_LOF	13	0.200013	0.0689216	0.204488	0.0367575	2.90203	29.5473	1	0.980565	3.73045	4.01969	3.26476	0.170314	0.144439	0.866467	0.677501	0.373789	0.278682	1	4.0615	1.44038	3.26146
mean_M_LOF	14	-0.101955	0.0690016	-0.106488	0.0337006	-1.47758	-14.7358	-0.85	0.828383	3.15149	3.09034	2.72237	-0.0239237	-0.0277699	0.115898	0.121744	0.0192817	0.0212188	1	-0.942324	0.326997	50.6791
mean_H_ROF	15	-0.0783909	0.176001	-0.0884823	0.133061	-0.445399	-3.65773	-0.56	0.410708	1.56249	1.22852	1.16157	-0.287099	-0.27402	1.9382	1.79892	1.02104	0.854947	1	-2.1167	0.678859	9.39719
mean_M_ROF	16	-0.13719	0.0846479	-0.125496	0.0506932	-1.62071	-12.1257	-0.88	0.939861	3.5756	3.75767	3.26476	-0.152656	-0.168494	0.73967	0.844875	0.311839	0.372484	1	-1.25197	0.319506	35.6277
sd_H_LOF	17	0.163484	0.114182	0.15802	0.0812274	1.43178	8.71552	0.85	0.848552	3.22822	3.20565	2.79988	0.274554	0.253937	1.82418	1.58773	0.869239	0.798312	1	2.75675	0.677552	17.0154
