Feature	SortIndex	Mean_W	StErr_W	Mean_W_GM	StErr_W_GM	CVratio	CVratio_GM	P_Relia95CI_GM	SignConst	Z_SignConst	P_SignConst	Pfdr_SignConst	Z_Perm	P_PermProb	Pfdr_PermProb
min_H_AU01_r	1	0.00960256	0.491476	0.0150862	0.458641	0.0195382	0.0286442	0.03	0.0174292	0.19887	0.37553	0.340552	0.407266	0.283562	50.6236
max_H_AU01_r	2	0.0467848	0.554326	0.0590639	0.512185	0.0843993	0.400956	0.04	0.063907	0.729189	0.63275	0.453184	0.346453	0.292102	50.1214
sd_H_AU01_r	3	0.0673751	0.475322	0.077135	0.436641	0.141746	0.696757	0.07	0.124546	1.42109	1.10988	0.735184	0.297138	0.294375	52.3245
mean_H_AU01_r	4	0.107634	0.474902	0.128021	0.437939	0.226645	0.985564	0.08	0.181917	2.0757	1.72214	0.943992	0.822327	0.308466	52.1643
md_H_AU01_r	5	0.11162	0.474498	0.133686	0.437862	0.235238	0.974337	0.07	0.160494	1.83126	1.47455	0.872493	0.920617	0.313486	51.464
skew_H_AU01_r	6	-0.0255794	0.477849	-0.0227026	0.444344	-0.0535303	-0.237466	-0.05	0.0555556	0.633897	0.579922	0.426495	-0.0701741	0.28628	51.5068
kurtosis_H_AU01_r	7	-0.0188813	0.455123	-0.0139545	0.421719	-0.041486	-0.193996	-0.02	0.0610022	0.696044	0.614035	0.453184	-0.0354783	0.28616	51.4359
min_M_AU01_r	8	0.00749576	0.490228	0.0126361	0.451996	0.0152904	0.0965979	0.01	0.0395788	0.4516	0.487077	0.372358	0.360952	0.292455	50.3342
max_M_AU01_r	9	-0.0228834	0.41403	-0.0252562	0.38064	-0.0552699	-0.316814	-0.03	0.0675381	0.77062	0.656658	0.464772	-0.559924	0.2884	51.1096
sd_M_AU01_r	10	0.0317569	0.468105	0.013219	0.42863	0.0678415	0.309063	0.04	0.05374	0.613181	0.568832	0.426308	-0.330035	0.270689	51.3267
mean_M_AU01_r	11	0.0122577	0.417296	-0.00864784	0.381314	0.0293742	0.10818	-0.06	0.0290487	0.331449	0.431619	0.358598	-0.670657	0.269601	48.6462
md_M_AU01_r	12	-0.0111098	0.40858	-0.0386101	0.374064	-0.0271913	-0.136385	-0.05	0.0646333	0.737475	0.637486	0.453569	-0.738123	0.279952	48.8437
skew_M_AU01_r	13	-0.0192829	0.371303	-0.02362	0.340352	-0.0519331	-0.260881	-0.03	0.037037	0.422598	0.47328	0.368545	-0.079304	0.291682	52.3808
kurtosis_M_AU01_r	14	-0.0325849	0.328465	-0.0321859	0.300356	-0.0992036	-0.439521	-0.02	0.0766158	0.874198	0.718955	0.488673	-0.309287	0.298613	52.5581
min_H_AU02_r	15	-0.0456249	0.393215	-0.0453639	0.364016	-0.11603	-0.564777	-0.05	0.109296	1.24708	0.973939	0.646257	-0.601942	0.291166	46.9277
max_H_AU02_r	16	-0.0729182	0.379181	-0.0776373	0.350545	-0.192305	-0.812181	-0.07	0.171024	1.95141	1.59339	0.93209	-0.683984	0.303319	52.205
sd_H_AU02_r	17	-0.0510766	0.366343	-0.0537846	0.338775	-0.139423	-0.575283	-0.04	0.138707	1.58267	1.24605	0.795277	-0.466357	0.293302	52.467
mean_H_AU02_r	18	-0.033283	0.390523	-0.048896	0.362604	-0.0852266	-0.363963	-0.03	0.0744372	0.849339	0.703672	0.488673	-0.298358	0.279158	50.161
md_H_AU02_r	19	-0.0799587	0.386239	-0.0922148	0.356995	-0.207019	-0.83545	-0.06	0.174292	1.9887	1.63139	0.937559	-0.961925	0.316107	44.7005
skew_H_AU02_r	20	-0.0861331	0.375081	-0.0963542	0.342341	-0.229639	-0.979293	-0.12	0.219317	2.50244	2.20993	1.28565	-0.849901	0.31741	52.2164
kurtosis_H_AU02_r	21	-0.0834351	0.378351	-0.0952571	0.347215	-0.220523	-0.932379	-0.08	0.194626	2.22071	1.87991	1.03481	-0.840055	0.316648	52.2072
min_M_AU02_r	22	-0.0117146	0.450678	0.0189879	0.414338	-0.0259933	-0.123365	0.05	0.00617284	0.070433	0.326127	0.312272	0.32174	0.285381	51.8318
max_M_AU02_r	23	-0.0806345	0.481419	-0.0861436	0.444304	-0.167493	-0.726477	-0.04	0.14016	1.59924	1.26056	0.795277	-1.08422	0.298488	47.6553
sd_M_AU02_r	24	-0.0684121	0.443859	-0.0834462	0.410054	-0.15413	-0.659317	-0.03	0.138707	1.58267	1.24605	0.795277	-1.08	0.299828	47.6621
mean_M_AU02_r	25	-0.0319339	0.514931	-0.0382849	0.473627	-0.0620159	-0.306553	-0.06	0.0610022	0.696044	0.614035	0.453184	-0.625525	0.281144	48.9934
md_M_AU02_r	26	0.0214352	0.432297	0.0372116	0.398799	0.0495845	0.237612	0.04	0.0315904	0.360451	0.444597	0.368507	0.197853	0.281803	51.5565
