Feature	SortIndex	Mean_W	StErr_W	Mean_W_GM	StErr_W_GM	CVratio	CVratio_GM	P_Relia95CI_GM	SignConst	Z_SignConst	P_SignConst	Pfdr_SignConst	Spearman_GM	Pearson_GM	P_Spearman_GM	P_Pearson_GM	Pfdr_Spearman_GM	Pfdr_Pearson_GM	FeatSelProb	Z_Perm	P_PermProb	Pfdr_PermProb
min_H_bodysync	1	-0.205775	0.164409	-0.194159	0.126838	-1.2516	-6.6734	-0.67	0.794252	2.22618	1.88602	1.51804	-0.132346	-0.154158	0.559033	0.678998	0.169028	0.189434	1	-0.728117	0.289492	39.1355
max_H_bodysync	2	0.258138	0.110311	0.261128	0.0582814	2.34009	20.5119	0.99	0.984258	2.75874	2.53742	1.9945	0.0142957	0.0447657	0.110907	0.159524	0.0403539	0.0542294	1	1.02596	0.430989	39.0056
sd_H_bodysync	3	0.0335609	0.238218	0.0462603	0.180224	0.140883	1.47358	0.48	0.142596	0.399676	0.462562	0.430377	0.0444038	0.0634778	0.175771	0.220194	0.0543513	0.0671134	1	0.146692	0.305977	41.1078
mean_H_bodysync	4	0.0365453	0.182116	0.0292741	0.104007	0.20067	0.914111	0.6	0.0971993	0.272436	0.406002	0.406002	-0.0452686	-0.051314	0.146335	0.168952	0.0575561	0.0627722	1	0.0691139	0.187495	45.9198
md_H_bodysync	5	-0.297156	0.118445	-0.297358	0.0573933	-2.50881	-22.7341	-0.94	0.981695	2.75156	2.52788	1.9945	-0.141842	-0.123934	0.604542	0.503113	0.185657	0.143893	1	-1.1381	0.507393	34.2767
skew_H_bodysync	6	-0.234379	0.120775	-0.235561	0.0859572	-1.94063	-11.4874	-0.96	0.958265	2.68588	2.44166	1.9945	-0.0316881	-0.0464486	0.113863	0.155463	0.0525226	0.0614092	1	-0.811251	0.328283	41.4579
kurtosis_H_bodysync	7	0.0722267	0.113717	0.0714808	0.0789592	0.635141	3.59198	0.42	0.435841	1.2216	0.954955	0.808827	-0.0377239	-0.0570117	0.135326	0.192659	0.0525226	0.0714858	1	0.257656	0.151518	44.0818
min_M_bodysync	8	-0.00479944	0.167449	0.0192495	0.109511	-0.0286621	1.61463	0.43	0.163097	0.457139	0.489742	0.430377	-0.0940654	-0.102981	0.351197	0.398898	0.0851002	0.121917	1	0.125586	0.182788	43.4784
max_M_bodysync	9	-0.115709	0.191599	-0.111797	0.101412	-0.603916	-5.70632	-0.56	0.476478	1.3355	1.04165	0.849761	-0.172021	-0.123576	0.793968	0.501167	0.274498	0.145674	1	-0.503672	0.257981	46.1274
sd_M_bodysync	10	-0.0520321	0.227849	-0.0601182	0.185898	-0.228362	-1.23151	-0.37	0.154677	0.433538	0.478454	0.430377	-0.112603	-0.119203	0.447452	0.477631	0.12893	0.145419	1	-0.167034	0.304078	47.0499
mean_M_bodysync	11	-0.471366	0.0859106	-0.46758	0.0514244	-5.4867	-38.6694	-1	1	2.80286	2.59644	1.9945	-0.263273	-0.249011	1.52226	1.41532	0.640529	0.491588	1	-1.85745	1.1437	23.1743
md_M_bodysync	12	-0.145852	0.161634	-0.137672	0.132588	-0.90236	-4.84899	-0.57	0.591799	1.65873	1.3135	1.07046	-0.280132	-0.240244	1.6897	1.33378	0.683255	0.49121	1	-0.642259	0.277797	41.139
skew_M_bodysync	13	-0.237711	0.201166	-0.252056	0.157624	-1.18167	-6.87592	-0.66	0.689548	1.93271	1.57453	1.2735	-0.0301791	0.0120804	0.111017	0.0934666	0.0458661	0.0363349	1	-0.787641	0.319015	42.0166
kurtosis_M_bodysync	14	0.229366	0.100574	0.243813	0.070765	2.28058	13.7924	0.99	0.965953	2.70743	2.46976	1.9945	-0.0694785	-0.0171796	0.243721	0.0796278	0.0672199	0.0323515	1	0.951039	0.395741	42.8555
