Feature	SortIndex	Mean_W	StErr_W	Mean_W_GM	StErr_W_GM	CVratio	CVratio_GM	P_Relia95CI_GM	SignConst	Z_SignConst	P_SignConst	Pfdr_SignConst	Z_Perm	P_PermProb	Pfdr_PermProb
min_H_headsync	1	0.117542	0.462738	0.109346	0.42823	0.254015	1.14314	0.07	0.209698	1.71306	1.363	0.995025	0.55266	0.28885	43.0809
max_H_headsync	2	0.103593	0.433142	0.0896844	0.395312	0.239166	1.25292	0.08	0.185934	1.51893	1.19118	0.90539	1.17802	0.297834	35.9065
sd_H_headsync	3	0.0371915	0.40905	0.0288061	0.373069	0.0909215	0.511865	0.05	0.0680796	0.556154	0.539023	0.481031	0.76261	0.25928	37.1151
mean_H_headsync	4	0.0908488	0.550181	0.0989189	0.514567	0.165125	0.764994	0.07	0.100835	0.823737	0.688152	0.583416	1.05108	0.29457	42.655
md_H_headsync	5	0.0222885	0.497915	0.0114489	0.463275	0.0447638	0.184407	0.06	0.0192678	0.157402	0.359058	0.343263	0.536801	0.272785	45.9425
skew_H_headsync	6	0.0839682	0.441601	0.0709096	0.403232	0.190145	0.981959	0.06	0.131021	1.07033	0.846995	0.697267	0.56476	0.291941	46.0432
kurtosis_H_headsync	7	0.114761	0.409029	0.109486	0.37355	0.280569	1.43085	0.1	0.188504	1.53992	1.20908	0.908049	0.89023	0.308201	43.9949
min_M_headsync	8	0.0396243	0.457854	0.0241208	0.417977	0.0865436	0.320117	0.07	0.054271	0.443349	0.483125	0.437512	0.012406	0.269548	48.2088
max_M_headsync	9	-0.292803	0.593038	-0.343811	0.543981	-0.493734	-2.40957	-0.3	0.327553	2.67583	2.42862	1.75961	-1.29712	0.385151	31.0798
sd_M_headsync	10	-0.269486	0.529459	-0.305093	0.486212	-0.508983	-2.40283	-0.29	0.35517	2.90144	2.73113	1.88603	-1.33487	0.38743	31.4203
mean_M_headsync	11	-0.251943	0.49975	-0.25888	0.458896	-0.504138	-2.34934	-0.23	0.342967	2.80175	2.59495	1.84676	-1.51237	0.383323	30.7828
md_M_headsync	12	-0.246857	0.533089	-0.23715	0.495193	-0.46307	-2.09213	-0.14	0.330122	2.69682	2.4559	1.75961	-1.52241	0.37182	31.7932
skew_M_headsync	13	-0.0341205	0.591903	-0.0511251	0.544641	-0.0576454	-0.236797	-0.04	0.0382145	0.312181	0.423139	0.399227	0.123208	0.284099	45.0311
kurtosis_M_headsync	14	-0.0848495	0.579901	-0.114733	0.531413	-0.146317	-0.656442	-0.06	0.134232	1.09657	0.865137	0.697267	-0.186112	0.284995	44.6891
min_H_pose_Rxsync	15	-0.156081	0.289886	-0.164432	0.268031	-0.538421	-2.46899	-0.26	0.382466	3.12443	3.05024	1.92032	-1.39643	0.384991	35.8056
max_H_pose_Rxsync	16	-0.00495261	0.375033	0.00697497	0.336998	-0.0132058	-0.0807157	0.09	0.0115607	0.0944412	0.335002	0.335002	-0.239817	0.268991	44.0482
