Feature	SortIndex	Mean_W	StErr_W	Mean_W_GM	StErr_W_GM	CVratio	CVratio_GM	P_Relia95CI_GM	SignConst	Z_SignConst	P_SignConst	Pfdr_SignConst	Spearman_GM	Pearson_GM	P_Spearman_GM	P_Pearson_GM	Pfdr_Spearman_GM	Pfdr_Pearson_GM	FeatSelProb	Z_Perm	P_PermProb	Pfdr_PermProb
min_H_intra	1	-0.111468	0.0801252	-0.104612	0.0492947	-1.39117	-9.24506	-0.92	0.932893	3.62792	3.84509	3.39793	-0.110505	-0.125186	0.474344	0.557082	0.129374	0.0869375	1	-0.399368	0.0474746	51.2555
max_H_intra	2	0.175997	0.123021	0.195201	0.0885056	1.43062	9.39459	0.86	0.848552	3.29992	3.31555	2.94757	-0.0520601	-0.0318973	0.185091	0.109694	0.0859642	0.041458	1	1.51382	0.522922	6.336
sd_H_intra	3	-0.16102	0.124767	-0.182083	0.0874408	-1.29056	-9.87561	-0.87	0.734507	2.85641	2.66912	2.523	-0.0391298	-0.0245854	0.135126	0.0929939	0.080106	0.040421	1	-0.592206	0.0996886	53.5138
mean_H_intra	4	-0.304572	0.115688	-0.297642	0.0878061	-2.6327	-15.1775	-0.99	0.993766	3.86464	4.25472	3.63492	-0.129744	-0.113234	0.583728	0.489995	0.130406	0.0869375	1	-4.56485	1.53588	0
md_H_intra	5	0.199517	0.211066	0.244416	0.177735	0.94528	6.0003	0.74	0.582692	2.26602	1.93089	1.86394	-0.145485	-0.116532	0.680849	0.508085	0.130406	0.0869375	1	2.33244	0.777934	11.0363
skew_H_intra	6	0.099449	0.0749692	0.0998504	0.0358398	1.32653	14.7473	0.82	0.792813	3.08316	2.98967	2.74663	0.070632	0.0480093	0.268505	0.168495	0.104746	0.0463365	1	0.960674	0.358561	20.8385
kurtosis_H_intra	7	-0.0770003	0.115555	-0.0903134	0.0835707	-0.666353	-4.97988	-0.59	0.513751	1.99792	1.64087	1.60869	0.0829674	-0.00250067	0.325007	0.0679145	0.111983	0.0266932	1	-0.267385	0.0042736	54
min_M_intra	8	0.126709	0.14727	0.157309	0.100618	0.860383	9.55696	0.77	0.672534	2.61541	2.35105	2.24632	-0.148099	-0.113111	0.708494	0.489284	0.130066	0.0869375	1	0.409585	0.0225068	54
max_M_intra	9	0.177101	0.0940004	0.168519	0.0582012	1.88404	13.3831	0.97	0.982765	3.82186	4.17898	3.63492	0.0341768	0.061339	0.124614	0.226454	0.059672	0.0463365	1	1.49235	0.274018	54
sd_M_intra	10	0.426198	0.1676	0.409143	0.148187	2.54295	11.2925	1	1	3.88889	4.29798	3.63492	0.078375	0.129873	0.302675	0.589918	0.0974965	0.0843845	1	1.31085	0.316907	36.8509
mean_M_intra	11	-0.511125	0.141497	-0.548447	0.107818	-3.61226	-24.641	-0.99	1	3.88889	4.29798	3.63492	-0.0881695	-0.0789369	0.348372	0.305925	0.111561	0.0680745	1	-6.64661	2.84753	0
md_M_intra	12	-0.0252964	0.204203	0.00342482	0.172807	-0.123879	-0.348159	0.23	0.0553722	0.215336	0.382211	0.382211	-0.122212	-0.0977096	0.538069	0.400238	0.12864	0.0795804	1	-1.38775	0.712979	6.11167
skew_M_intra	13	-0.11891	0.103875	-0.130678	0.0560478	-1.14474	-9.79116	-0.86	0.751375	2.92201	2.75973	2.56784	0.0700624	0.0268238	0.265868	0.13585	0.101826	0.0379584	1	-1.86149	0.475112	13.5777
kurtosis_M_intra	14	-0.139172	0.112558	-0.122498	0.0899689	-1.23645	-5.99407	-0.63	0.827283	3.21721	3.18895	2.88792	-0.0204495	-0.0518183	0.104912	0.194294	0.061477	0.0522808	1	-0.38145	0.00481401	54
