Feature	SortIndex	Mean_W	StErr_W	Mean_W_GM	StErr_W_GM	CVratio	CVratio_GM	P_Relia95CI_GM	SignConst	Z_SignConst	P_SignConst	Pfdr_SignConst	Z_Perm	P_PermProb	Pfdr_PermProb
min_H_headsync	1	-0.261948	0.586116	-0.262938	0.539202	-0.446923	-2.13017	-0.21	0.317598	2.50168	2.209	1.30541	-1.60573	0.360161	45.7749
max_H_headsync	2	0.2774	0.475752	0.268261	0.438249	0.583078	2.63645	0.22	0.412331	3.24789	3.23558	1.96452	1.70538	0.402022	33.7435
sd_H_headsync	3	0.358213	0.501085	0.343285	0.458125	0.714875	3.36039	0.31	0.506423	3.98904	4.47924	2.95374	2.3448	0.43197	28.4349
mean_H_headsync	4	0.212838	0.619894	0.226923	0.560992	0.343346	1.83977	0.15	0.267823	2.10961	1.7583	1.01012	1.1464	0.344255	45.4681
md_H_headsync	5	0.081893	0.583346	0.0947621	0.521495	0.140385	0.823817	0.13	0.154143	1.21416	0.949456	0.564154	0.466048	0.30772	45.0995
skew_H_headsync	6	0.00950102	0.532267	0.00213272	0.475036	0.0178501	0.101781	0.06	0.0436737	0.344013	0.43721	0.322745	-0.136875	0.28473	46.7599
kurtosis_H_headsync	7	-0.00539048	0.515561	-0.00708092	0.462744	-0.0104556	0.0139058	-0.06	0.00128452	0.010118	0.30455	0.302787	-0.233382	0.283234	45.9253
min_M_headsync	8	-0.373523	0.53037	-0.353603	0.480677	-0.704269	-3.40335	-0.32	0.500963	3.94603	4.4009	2.95374	-2.27081	0.460753	32.8282
max_M_headsync	9	0.00409294	0.534865	-0.0101644	0.499304	0.00765229	-0.00165245	-0.03	0.0324342	0.25548	0.398836	0.322745	-0.339253	0.279899	46.4613
sd_M_headsync	10	0.112098	0.531266	0.101115	0.4908	0.211002	0.954459	0.07	0.148683	1.17116	0.918053	0.564154	0.472414	0.288132	45.0403
mean_M_headsync	11	-0.154964	0.543384	-0.146533	0.499778	-0.285183	-1.2147	-0.09	0.195247	1.53794	1.20739	0.689649	-1.11677	0.322131	47.5695
md_M_headsync	12	-0.171811	0.596262	-0.161062	0.544455	-0.288147	-1.18847	-0.06	0.2158	1.69983	1.35085	0.806778	-1.00409	0.319041	47.5334
