Feature	SortIndex	Mean_W	StErr_W	Mean_W_GM	StErr_W_GM	CVratio	CVratio_GM	P_Relia95CI_GM	SignConst	Z_SignConst	P_SignConst	Pfdr_SignConst	Z_Perm	P_PermProb	Pfdr_PermProb
min_H_AU01_r	1	0.0520743	0.44686	0.0428427	0.410946	0.116534	0.487072	0.04	0.0660857	0.713165	0.623657	0.433563	1.07361	0.276831	50.9037
max_H_AU01_r	2	-0.000817392	0.356589	-0.00300713	0.323033	-0.00229225	-0.0789653	-0.09	0.0399419	0.431034	0.477266	0.391836	-0.623398	0.288864	51.4013
sd_H_AU01_r	3	-0.0155203	0.35134	-0.00819071	0.318384	-0.0441747	-0.216061	-0.11	0.0566449	0.611284	0.567824	0.421484	-0.708856	0.290396	51.4138
mean_H_AU01_r	4	-0.0319212	0.433484	-0.0217745	0.391135	-0.0736386	-0.368177	-0.08	0.0497458	0.536833	0.529161	0.413908	-0.328394	0.28018	51.5188
md_H_AU01_r	5	0.01896	0.378608	0.0162781	0.343383	0.0500781	0.187273	0.06	0.0381264	0.411441	0.468043	0.39139	0.44472	0.274444	51.8209
skew_H_AU01_r	6	-0.000908651	0.328957	-0.00450809	0.297839	-0.00276222	-0.0825692	-0.08	0.0464779	0.501567	0.511469	0.413264	-0.6946	0.286421	51.4678
kurtosis_H_AU01_r	7	0.00343839	0.327929	0.00300088	0.297173	0.0104852	-0.02697	0.08	0.0148874	0.160658	0.360333	0.333681	-0.62906	0.284422	51.5198
min_M_AU01_r	8	-0.0338076	0.526816	-0.0251189	0.483942	-0.0641734	-0.337194	-0.08	0.0377633	0.407523	0.466213	0.39139	-0.577132	0.281735	45.3122
max_M_AU01_r	9	-0.105392	0.477496	-0.0956291	0.440595	-0.220718	-0.953557	-0.09	0.147059	1.58699	1.24982	0.720061	-0.963479	0.301991	52.019
sd_M_AU01_r	10	-0.11134	0.496688	-0.111385	0.452966	-0.224165	-0.936753	-0.08	0.175381	1.89263	1.53456	0.865558	-0.656194	0.299781	51.8586
mean_M_AU01_r	11	-0.141216	0.499548	-0.157348	0.454974	-0.282688	-1.17942	-0.11	0.192084	2.07288	1.71916	1.01236	-0.979222	0.324334	49.0565
md_M_AU01_r	12	-0.0907834	0.472692	-0.0826134	0.438681	-0.192056	-0.817361	-0.05	0.14488	1.56348	1.22937	0.720061	-0.71115	0.303488	49.0051
skew_M_AU01_r	13	-0.0624548	0.414182	-0.0609882	0.382764	-0.150791	-0.64789	-0.06	0.106028	1.1442	0.898698	0.576478	-0.91492	0.291667	52.0153
kurtosis_M_AU01_r	14	-0.0392004	0.403343	-0.0401393	0.371403	-0.0971887	-0.42274	-0.08	0.0657226	0.709246	0.621446	0.433563	-0.794443	0.286949	51.8956
min_H_AU02_r	15	-0.0553148	0.314786	-0.0612166	0.285392	-0.175722	-0.719652	-0.09	0.145969	1.57523	1.23957	0.720061	-0.501816	0.299362	50.1469
max_H_AU02_r	16	-0.108742	0.292834	-0.106408	0.264847	-0.371345	-1.66586	-0.12	0.26289	2.83699	2.64262	1.62143	-1.77633	0.353135	34.2073
sd_H_AU02_r	17	-0.100044	0.299168	-0.10964	0.27134	-0.334409	-1.56292	-0.13	0.27923	3.01332	2.88872	1.7426	-1.43452	0.350072	35.7456
mean_H_AU02_r	18	-0.121695	0.417509	-0.132428	0.385589	-0.29148	-1.32115	-0.11	0.219317	2.36677	2.04711	1.24604	-1.2645	0.332137	47.0976
md_H_AU02_r	19	-0.088182	0.452973	-0.0956493	0.419674	-0.194674	-0.808807	-0.09	0.142702	1.53997	1.20912	0.716206	-1.00843	0.29776	51.1851
skew_H_AU02_r	20	-0.115306	0.294941	-0.103407	0.267646	-0.390946	-1.72889	-0.12	0.263617	2.84482	2.65329	1.62143	-2.05587	0.355745	23.5328
kurtosis_H_AU02_r	21	-0.09602	0.280461	-0.0882885	0.255532	-0.342365	-1.51134	-0.07	0.238199	2.57053	2.29438	1.39678	-1.82259	0.343937	28.8406
min_M_AU02_r	22	-0.0345783	0.390421	-0.0419409	0.360881	-0.0885668	-0.312089	-0.05	0.0562818	0.607366	0.565744	0.421484	-0.603086	0.271961	51.0272
max_M_AU02_r	23	-0.0128004	0.492185	-0.0416693	0.451484	-0.0260073	-0.178923	-0.05	0.08061	0.869905	0.7163	0.473262	-0.397542	0.297808	52.1436
sd_M_AU02_r	24	-0.115362	0.438503	-0.115561	0.399647	-0.263082	-1.27039	-0.11	0.217502	2.34717	2.02419	1.24604	-1.16147	0.330062	50.5658
mean_M_AU02_r	25	-0.228103	0.475175	-0.23359	0.432207	-0.480039	-2.24867	-0.18	0.351852	3.79702	4.13534	2.5407	-1.81983	0.396505	43.7558
md_M_AU02_r	26	-0.154231	0.349746	-0.166346	0.318519	-0.440979	-1.94504	-0.17	0.348221	3.75783	4.06704	2.5407	-1.49898	0.384132	47.9804
skew_M_AU02_r	27	0.0671937	0.375548	0.0638526	0.344094	0.178922	0.793375	0.08	0.131808	1.42241	1.11096	0.661443	0.208057	0.306174	51.6539
kurtosis_M_AU02_r	28	0.0655352	0.34601	0.0624912	0.316549	0.189403	0.836475	0.11	0.153595	1.65752	1.31241	0.740311	0.182637	0.3023	52.0543
