Feature	SortIndex	Mean_W	StErr_W	Mean_W_GM	StErr_W_GM	CVratio	CVratio_GM	P_Relia95CI_GM	SignConst	Z_SignConst	P_SignConst	Pfdr_SignConst	Z_Perm	P_PermProb	Pfdr_PermProb
self_min_H_AU01_r	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_AU02_r	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_AU04_r	3	-0.0163671	0.257304	-0.0113702	0.233105	-0.06361	-0.300928	-0.11	0.0347224	0.276315	0.407653	0.286268	0.0951997	0.290577	43.7373
self_min_H_AU05_r	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_AU06_r	5	0.0552208	0.237751	0.0573376	0.213851	0.232263	1.11782	0.08	0.184562	1.46872	1.14902	0.61623	1.32085	0.303261	50.769
self_min_H_AU07_r	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_AU09_r	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_AU10_r	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_AU12_r	9	0.00393151	0.261448	0.0116248	0.235419	0.0150374	-0.0465617	0.1	0.000828582	0.00659371	0.303321	0.242051	-0.46587	0.291235	50.7954
self_min_H_AU14_r	10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_AU15_r	11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_AU17_r	12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_AU20_r	13	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_AU23_r	14	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_AU25_r	15	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_AU26_r	16	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_AU45_r	17	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_MEA_body	18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_H_MEA_head	19	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_AU01_r	20	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_AU02_r	21	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_AU04_r	22	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_AU05_r	23	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_AU06_r	24	0.0329626	0.245154	0.0364956	0.222335	0.134457	0.634761	0.07	0.0997763	0.794003	0.670405	0.386924	0.878171	0.296095	57.0541
self_min_M_AU07_r	25	0.0225057	0.165362	0.0255298	0.15072	0.1361	0.607665	0.02	0.089163	0.709544	0.621614	0.361085	1.58737	0.297674	47.9432
self_min_M_AU09_r	26	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_AU10_r	27	-0.0297163	0.174944	-0.0312606	0.159722	-0.169862	-0.75937	-0.06	0.107784	0.857724	0.708803	0.387333	-1.1664	0.31526	55.2947
self_min_M_AU12_r	28	-0.000438358	0.317805	0.00730509	0.284819	-0.00137933	-0.106308	0.1	0.0073769	0.0587041	0.321852	0.251078	-0.436909	0.297271	50.8807
self_min_M_AU14_r	29	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_AU15_r	30	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_AU17_r	31	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_AU20_r	32	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_AU23_r	33	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_AU25_r	34	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_AU26_r	35	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_AU45_r	36	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_MEA_body	37	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_min_M_MEA_head	38	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
self_max_H_AU01_r	39	-0.314803	0.479158	-0.311271	0.438608	-0.656991	-2.99167	-0.37	0.452516	3.60104	3.80005	2.27826	-2.22708	0.406536	36.7996
self_max_H_AU02_r	40	-0.239501	0.452453	-0.244274	0.414487	-0.529338	-2.41155	-0.23	0.391722	3.11726	3.03967	1.81891	-2.34605	0.37923	42.1732
self_max_H_AU04_r	41	-0.0884827	0.427784	-0.0993628	0.391481	-0.20684	-0.919636	-0.09	0.157136	1.25046	0.976475	0.520076	-1.32546	0.33264	49.509
self_max_H_AU05_r	42	-0.140592	0.422547	-0.139245	0.392345	-0.332726	-1.47157	-0.09	0.252619	2.0103	1.65365	0.900867	-0.300767	0.271093	54.315
self_max_H_AU06_r	43	0.0708625	0.445324	0.0824619	0.402907	0.159126	0.66621	0.12	0.114889	0.914269	0.744034	0.387333	0.137619	0.291813	58.904
self_max_H_AU07_r	44	-0.0627135	0.450623	-0.062263	0.40553	-0.139171	-0.637677	-0.08	0.101494	0.807673	0.678527	0.386924	-0.331269	0.304146	56.0682
self_max_H_AU09_r	45	0.0373107	0.327534	0.0518045	0.296525	0.113914	0.546123	0.09	0.110081	0.876004	0.720073	0.387333	0.571873	0.30657	55.2115
self_max_H_AU10_r	46	-0.0897633	0.43253	-0.117746	0.395249	-0.207531	-0.962581	-0.09	0.168126	1.33792	1.04354	0.556735	-1.56857	0.306812	43.6923
self_max_H_AU12_r	47	0.0357904	0.542466	0.0464761	0.493005	0.0659772	0.279523	0.13	0.052035	0.414086	0.469281	0.29354	-0.436298	0.292138	57.8944
self_max_H_AU14_r	48	0.120668	0.564167	0.120798	0.505521	0.213887	0.976997	0.14	0.112828	0.897869	0.733703	0.387333	0.919405	0.278533	58.611
self_max_H_AU15_r	49	0.122282	0.557084	0.15819	0.514687	0.219503	0.958282	0.1	0.175683	1.39805	1.09125	0.580186	0.167985	0.279345	56.8004
self_max_H_AU17_r	50	-0.325402	0.536437	-0.317099	0.486537	-0.606599	-2.82364	-0.28	0.432251	3.43978	3.53597	2.06533	-2.99192	0.406794	28.5837
self_max_H_AU20_r	51	-0.151227	0.35445	-0.142209	0.323914	-0.426653	-1.88889	-0.13	0.319595	2.54328	2.26036	1.32684	-2.00418	0.377605	32.402
self_max_H_AU23_r	52	-0.0689153	0.583462	-0.0587582	0.530115	-0.118115	-0.590257	-0.08	0.113172	0.900603	0.735419	0.387333	-0.555813	0.316766	57.9221
self_max_H_AU25_r	53	-0.104973	0.570081	-0.134526	0.508238	-0.184137	-0.956416	-0.19	0.144427	1.14933	0.902359	0.481799	-1.53721	0.324297	39.2298
