Feature	SortIndex	Mean_W	StErr_W	Mean_W_GM	StErr_W_GM	CVratio	CVratio_GM	P_Relia95CI_GM	SignConst	Z_SignConst	P_SignConst	Pfdr_SignConst	Spearman_GM	Pearson_GM	P_Spearman_GM	P_Pearson_GM	Pfdr_Spearman_GM	Pfdr_Pearson_GM	FeatSelProb	Z_Perm	P_PermProb	Pfdr_PermProb
dyad_pit_sync_MEA_H_speech	1	-0.187305	0.0796251	-0.192712	0.0379222	-2.35234	-23.1394	-0.98	0.962348	3.41628	3.49837	3.0397	-0.200082	-0.17073	1.01424	0.810932	0.600443	0.398471	1	-1.14357	0.49234	52.2537
dyad_pit_sync_MEA_M_speech	2	-0.142131	0.0924205	-0.1573	0.0568045	-1.53788	-13.4556	-0.87	0.82835	2.9406	2.78571	2.38777	-0.105399	-0.11938	0.414402	0.488189	0.195487	0.240946	1	-0.631736	0.305134	52.3602
dyad_int_sync_MEA_H_speech	3	0.380382	0.125485	0.395093	0.0862115	3.03129	22.0423	1	0.999631	3.54863	3.71305	3.04462	0.435879	0.411535	3.81342	3.41088	2.40753	2.03819	1	1.91732	1.05237	0.48
dyad_int_sync_MEA_M_speech	4	0.279402	0.0746672	0.28112	0.0478003	3.74196	30.8198	1	1	3.54994	3.71522	3.04462	0.365864	0.373188	2.73483	2.8531	1.80726	1.68453	1	1.71717	0.930482	43.5925
dyad_spr_H_speech	5	0.058934	0.0732202	0.0555377	0.0356307	0.804887	7.45296	0.66	0.624954	2.21855	1.8775	1.70141	-0.0114336	-0.05267	0.128982	0.203799	0.0593928	0.106099	1	0.330381	0.137284	52.7361
dyad_spr_M_speech	6	-0.214622	0.068159	-0.218018	0.0276412	-3.14885	-39.6076	-0.99	0.991879	3.52111	3.66783	3.04462	-0.256399	-0.249178	1.49281	1.42715	0.86323	0.692594	1	-1.26925	0.529298	50.0003
dyad_str_H_speech	7	-0.00330782	0.0930634	-0.0101453	0.0389059	-0.0355437	-0.109569	-0.55	0.0601698	0.213599	0.381502	0.381502	0.0665871	0.122116	0.242174	0.503984	0.112682	0.269395	1	0.0678051	0.146022	52.1393
dyad_str_M_speech	8	-0.103272	0.136758	-0.103966	0.081453	-0.75515	-4.27705	-0.76	0.584348	2.0744	1.72077	1.58607	0.102899	0.0578322	0.401622	0.19764	0.195611	0.107737	1	-0.453956	0.281074	52.1863
dyad_ttg_H_speech	9	-0.0655184	0.0846683	-0.0668508	0.0368286	-0.773824	-6.52683	-0.84	0.606497	2.15303	1.80526	1.65036	0.0513951	0.0904711	0.205494	0.343846	0.103835	0.184313	1	0.0106083	0.156684	52.9485
dyad_ttg_M_speech	10	0.253046	0.0768139	0.255657	0.0449143	3.29427	24.9834	1	0.998893	3.54601	3.70873	3.04462	0.255609	0.212115	1.49235	1.10831	0.881697	0.562428	1	1.17843	0.576861	52.3068
dyad_no_turns_H_speech	11	0.305205	0.0920982	0.322928	0.0681766	3.31391	21.7706	1	1	3.54994	3.71522	3.04462	-0.117207	-0.0161366	0.476394	0.103636	0.244031	0.0521951	1	1.72153	0.848101	35.8137
dyad_no_turns_M_speech	12	-0.0840063	0.0764577	-0.0845314	0.0242463	-1.09873	-15.2956	-0.92	0.820967	2.91439	2.74911	2.38722	-0.323091	-0.153578	2.19599	0.689694	1.38264	0.367926	1	-0.338025	0.180358	52.3602
nsyll_H_speech	13	-0.0267281	0.06081	-0.0154173	0.0406578	-0.439534	-2.25844	-0.26	0.235511	0.836052	0.695589	0.680866	-0.0267889	-0.0316653	0.091646	0.105119	0.0409748	0.0672646	1	0.0973809	0.0869172	52.7661
nsyll_M_speech	14	-0.112001	0.0370162	-0.112033	0.0215307	-3.02574	-26.058	-1	0.985604	3.49884	3.63144	3.04462	-0.125727	-0.168715	0.523323	0.788726	0.269099	0.418842	1	-0.723695	0.301678	52.3602
npause_H_speech	15	-0.116183	0.0816222	-0.110856	0.0368703	-1.42343	-13.352	-0.96	0.814692	2.89211	2.71821	2.38722	-0.228269	-0.175787	1.24147	0.837145	0.7588	0.427125	1	-0.696367	0.294762	52.5492
npause_M_speech	16	-0.0216557	0.0795526	-0.032232	0.0573467	-0.272219	-3.13978	-0.48	0.42488	1.5083	1.18218	1.103	-0.249022	-0.181755	1.42442	0.879093	0.870513	0.441876	1	-0.275377	0.13481	53.0026
pho_H_speech	17	0.048975	0.0470599	0.044537	0.0346526	1.04069	5.81678	0.72	0.749354	2.66016	2.40837	2.16169	-0.0505559	-0.0637574	0.169612	0.22183	0.0882411	0.110179	1	0.346545	0.111926	52.4263
pho_M_speech	18	-0.0125959	0.0448262	-0.017151	0.0253312	-0.280995	-3.39768	-0.47	0.331857	1.17807	0.923055	0.860907	-0.102512	-0.093298	0.399669	0.354222	0.181371	0.183337	1	-0.0238925	0.0775744	52.7779
art_H_speech	19	0.0557495	0.0495879	0.0559147	0.0252986	1.12426	9.29518	0.89	0.760797	2.70079	2.46108	2.18808	0.0341832	0.0492679	0.108595	0.164038	0.0636465	0.0982817	1	0.453212	0.118924	52.7491
art_M_speech	20	-0.197343	0.0961685	-0.209522	0.065954	-2.05205	-13.6222	-0.95	0.958287	3.40187	3.47543	3.0397	-0.208619	-0.164846	1.08166	0.766239	0.663857	0.403315	1	-1.33512	0.459616	49.0372
pit_sync_H_speech	21	0.149249	0.0641975	0.142993	0.0290067	2.32484	22.1141	0.99	0.970469	3.44511	3.54453	3.0397	0.243774	0.177223	1.38082	0.847147	0.869073	0.43668	1	0.957325	0.406408	52.5349
pit_sync_M_speech	22	0.0457596	0.0553533	0.0485591	0.0197721	0.826682	11.1667	0.75	0.633444	2.24869	1.91129	1.71293	0.0321461	-0.0459866	0.106463	0.179157	0.0543377	0.0850458	1	0.344024	0.142683	52.5084
int_sync_H_speech	23	0.0538185	0.0616111	0.0564621	0.0267655	0.87352	9.95814	0.81	0.636766	2.26048	1.92461	1.71293	0.0692928	0.0699619	0.245135	0.247994	0.116517	0.118044	1	0.15776	0.165826	52.3068
int_sync_M_speech	24	-0.0705193	0.065833	-0.066757	0.0275278	-1.07119	-12.0015	-0.93	0.768918	2.72962	2.49889	2.19786	-0.164302	-0.187444	0.75921	0.920013	0.441315	0.468461	1	-0.296545	0.171693	52.3602
art_sync_H_speech	25	0.00546869	0.0443438	0.00507715	0.0156628	0.123325	4.04476	0.73	0.289406	1.02737	0.817807	0.77205	-0.045723	-0.0230613	0.15183	0.0915956	0.0729346	0.0571477	1	-0.0892503	0.0914344	52.5165
art_sync_M_speech	26	0.014312	0.0450149	0.0150804	0.0191949	0.317938	4.31182	0.62	0.249169	0.884538	0.725373	0.69541	-0.0200021	-0.0248569	0.0843663	0.0947641	0.0479169	0.0576641	1	0.265291	0.106111	52.5279
pit_var_H_speech	27	0.142711	0.159831	0.152631	0.14029	0.892889	4.76034	0.48	0.513474	1.8228	1.4664	1.351	-0.251454	-0.223638	1.45091	1.20247	0.871299	0.583545	1	0.776134	0.356448	52.1547
pit_var_M_speech	28	-0.327627	0.0695268	-0.322598	0.0461338	-4.71224	-30.1184	-1	1	3.54994	3.71522	3.04462	-0.400041	-0.327893	3.22117	2.25417	2.10477	1.25853	1	-1.67955	0.995679	48.2477
int_var_H_speech	29	0.249569	0.0776467	0.255695	0.049583	3.21416	25.1073	0.98	0.983389	3.49097	3.61865	3.04462	0.202878	0.234705	1.03572	1.29675	0.623344	0.650496	1	1.55299	0.688703	48.6736
int_var_M_speech	30	0.0441472	0.0793041	0.0526725	0.0653476	0.556682	3.36262	0.5	0.447398	1.58824	1.25091	1.154	0.0628636	0.109656	0.21813	0.436313	0.102949	0.229794	1	0.234815	0.166309	52.3602
