Feature	SortIndex	Mean_W	StErr_W	Mean_W_GM	StErr_W_GM	CVratio	CVratio_GM	P_Relia95CI_GM	SignConst	Z_SignConst	P_SignConst	Pfdr_SignConst	Z_Perm	P_PermProb	Pfdr_PermProb
min_H_headsync	1	-0.441602	0.525749	-0.480678	0.479526	-0.839947	-4.1921	-0.51	0.602119	3.10658	3.02396	1.87053	-3.14529	0.55355	26.4871
max_H_headsync	2	0.351027	0.529825	0.397564	0.484035	0.662534	3.32356	0.4	0.489082	2.52337	2.23569	1.53194	0.865679	0.330065	40.3458
sd_H_headsync	3	0.40506	0.470577	0.445062	0.428834	0.860773	4.35146	0.54	0.601156	3.10161	3.01666	1.87053	2.0314	0.47379	32.3354
mean_H_headsync	4	0.0315221	0.534108	0.0160809	0.482166	0.0590182	0.0945747	0.09	0.0401413	0.207105	0.378861	0.363067	0.632523	0.262484	47.7203
md_H_headsync	5	-0.152727	0.589944	-0.18449	0.529337	-0.258884	-1.39634	-0.13	0.204881	1.05707	0.837911	0.594873	-0.062173	0.293567	48.9138
skew_H_headsync	6	0.0815316	0.533295	0.10166	0.488531	0.152883	0.800003	0.07	0.195568	1.00902	0.805532	0.588823	-1.08359	0.250408	40.4554
kurtosis_H_headsync	7	0.0447657	0.544506	0.0587151	0.498921	0.0822133	0.472979	0.07	0.129737	0.669364	0.599235	0.419248	-1.34573	0.246018	39.6718
min_M_headsync	8	-0.489187	0.54475	-0.520069	0.496074	-0.898004	-4.44794	-0.56	0.610148	3.148	3.08515	1.87053	-2.93737	0.548574	35.4432
max_M_headsync	9	0.20669	0.537429	0.205341	0.488326	0.38459	1.71905	0.17	0.239884	1.23766	0.966894	0.695827	1.4987	0.341175	44.1401
sd_M_headsync	10	0.349875	0.50975	0.35077	0.45819	0.686365	3.21129	0.31	0.520873	2.6874	2.44363	1.55595	3.02107	0.467958	28.3409
mean_M_headsync	11	-0.0452559	0.524009	-0.0703039	0.481859	-0.0863648	-0.490692	-0.11	0.11368	0.586522	0.554766	0.404214	0.403918	0.288443	47.7312
